Accession,Host,Collection_Date
BBJ01091,Equidae,2016
BBJ01174,Equidae,2017
BBJ01175,Equidae,2017
BBJ01180,Equidae,2017
BBJ01181,Equidae,2017
BBJ01191,Equidae,2017
QBH99200,Hominidae,2018-01
AYC11990,Hominidae,2016
AST12031,Hominidae,2013-05-18
ARQ80040,Hominidae,2014
BAT22759,Hominidae,2008
AIF34663,Hominidae,2009-02-13
AGE09866,Hominidae,2011-10
AGH13314,Suidae,2012
AFA43488,Hominidae,2008
AER68039,Hominidae,2007-07-16
ACZ59916,Suidae,2007
QXY09509,Hominidae,2012-08-12
QRL06760,Hominidae,2018-01-13
QRL06908,Hominidae,2018-05-07
QOU12585,Hominidae,2018
BBL56366,Hominidae,2015
AYE56639,Hominidae,2012
BBJ00885,Equidae,2012
BBJ00886,Equidae,2012
BBJ00887,Equidae,2012
BBJ00890,Equidae,2012
BBJ00892,Equidae,2012
BBJ00896,Equidae,2012
BBJ00897,Equidae,2012
BBJ00898,Equidae,2012
BBJ00899,Equidae,2012
BBJ00901,Equidae,2012
BBJ00903,Equidae,2012
BBJ00909,Equidae,2012
BBJ00910,Equidae,2012
BBJ00915,Equidae,2012
BBJ00920,Equidae,2012
BBJ00921,Equidae,2012
BBJ00941,Equidae,2013
BBJ00943,Equidae,2013
BBJ00945,Equidae,2013
BBJ00947,Equidae,2013
BBJ00948,Equidae,2013
BBJ00949,Equidae,2013
BBJ00950,Equidae,2013
BBJ00951,Equidae,2013
BBJ00952,Equidae,2013
BBJ00955,Equidae,2013
BBJ00958,Equidae,2013
BBJ00964,Equidae,2013
BBJ00966,Equidae,2013
BBJ00968,Equidae,2013
BBJ00969,Equidae,2013
BBJ00976,Equidae,2013
BBJ00980,Equidae,2013
BBJ00987,Equidae,2014
BBJ00989,Equidae,2014
BBJ00993,Equidae,2014
BBJ00996,Equidae,2014
BBJ00997,Equidae,2014
BBJ00999,Equidae,2014
BBJ01000,Equidae,2014
BBJ01005,Equidae,2014
BBJ01006,Equidae,2014
BBJ01009,Equidae,2014
BBJ01010,Equidae,2014
BBJ01012,Equidae,2014
BBJ01015,Equidae,2014
BBJ01016,Equidae,2014
BBJ01019,Equidae,2014
BBJ01020,Equidae,2014
BBJ01021,Equidae,2014
BBJ01022,Equidae,2014
BBJ01023,Equidae,2014
BBJ01028,Equidae,2014
BBJ01029,Equidae,2014
BBJ01030,Equidae,2014
BBJ01037,Equidae,2014
BBJ01039,Equidae,2014
BBJ01048,Equidae,2015
BBJ01056,Equidae,2015
BBJ01071,Equidae,2016
BBJ01072,Equidae,2016
BBJ01075,Equidae,2016
BBJ01076,Equidae,2016
BBJ01077,Equidae,2016
BBJ01080,Equidae,2016
BBJ01081,Equidae,2016
BBJ01082,Equidae,2016
BBJ01085,Equidae,2016
BBJ01088,Equidae,2016
BBJ01089,Equidae,2016
BBJ01090,Equidae,2016
BBJ01092,Equidae,2016
BBJ01093,Equidae,2016
BBJ01094,Equidae,2016
BBJ01099,Equidae,2016
BBJ01103,Equidae,2016
BBJ01107,Equidae,2016
BBJ01110,Equidae,2016
BBJ01131,Equidae,2017
BBJ01134,Equidae,2017
BBJ01135,Equidae,2017
BBJ01143,Equidae,2017
BBJ01149,Equidae,2017
BBJ01154,Equidae,2017
BBJ01155,Equidae,2017
BBJ01165,Equidae,2017
BBJ01168,Equidae,2017
BBJ01169,Equidae,2017
BBJ01171,Equidae,2017
BBJ01172,Equidae,2017
BBJ01173,Equidae,2017
BBJ01178,Equidae,2017
BBJ01179,Equidae,2017
BBJ01184,Equidae,2017
BBJ01187,Equidae,2017
BBJ01189,Equidae,2017
AXF73484,Hominidae,2010-05-03
AXF73485,Hominidae,2010-07-08
AXF73486,Hominidae,2010-07-20
AXF73487,Hominidae,2010-08-07
AXF73488,Hominidae,2010-08-16
AXF73489,Hominidae,2010-06-09
AXF73490,Hominidae,2010-06-03
AXF73491,Hominidae,2010-05-27
AXF73492,Hominidae,2010-06-08
AXF73493,Hominidae,2010-07-06
AXF73494,Hominidae,2010-08-27
AXF73495,Hominidae,2010-09-22
AXF73496,Hominidae,2010-10-25
AXF73497,Hominidae,2010-11-15
AXF73498,Hominidae,2010-11-16
AXF73499,Hominidae,2011-02-28
ARQ80039,Hominidae,2014
BAX56172,Equidae,2011
ANC33829,Hominidae,2013
AIE39950,Bovidae,2012-09-11
AHG06588,Suidae,2011
AGE09865,Hominidae,2011-10
AFM77164,Hominidae,2011
QRL06892,Hominidae,2018-03-02
QNL34769,Hominidae,2018-03-04
QHW04036,Hominidae,2017
BBL56315,Hominidae,2015
BBL56332,Hominidae,2016
BBL56370,Hominidae,2016
AYE56663,Hominidae,2012
BBJ00884,Equidae,2012
BBJ00894,Equidae,2012
BBJ00902,Equidae,2012
BBJ00907,Equidae,2012
BBJ00911,Equidae,2012
BBJ00912,Equidae,2012
BBJ00927,Equidae,2012
BBJ00928,Equidae,2012
BBJ00934,Equidae,2013
BBJ00939,Equidae,2013
BBJ00944,Equidae,2013
BBJ00954,Equidae,2013
BBJ00962,Equidae,2013
BBJ00963,Equidae,2013
BBJ00967,Equidae,2013
BBJ00970,Equidae,2013
BBJ00974,Equidae,2013
BBJ00986,Equidae,2014
BBJ00988,Equidae,2014
BBJ00992,Equidae,2014
BBJ00994,Equidae,2014
BBJ00995,Equidae,2014
BBJ00998,Equidae,2014
BBJ01003,Equidae,2014
BBJ01004,Equidae,2014
BBJ01008,Equidae,2014
BBJ01011,Equidae,2014
BBJ01014,Equidae,2014
BBJ01018,Equidae,2014
BBJ01024,Equidae,2014
BBJ01026,Equidae,2014
BBJ01027,Equidae,2014
BBJ01031,Equidae,2014
BBJ01032,Equidae,2014
BBJ01033,Equidae,2014
BBJ01036,Equidae,2014
BBJ01042,Equidae,2014
BBJ01045,Equidae,2015
BBJ01046,Equidae,2015
BBJ01047,Equidae,2015
BBJ01050,Equidae,2015
BBJ01051,Equidae,2015
BBJ01052,Equidae,2015
BBJ01062,Equidae,2015
BBJ01064,Equidae,2015
BBJ01065,Equidae,2015
BBJ01070,Equidae,2015
BBJ01073,Equidae,2016
BBJ01084,Equidae,2016
BBJ01086,Equidae,2016
BBJ01096,Equidae,2016
BBJ01097,Equidae,2016
BBJ01098,Equidae,2016
BBJ01100,Equidae,2016
BBJ01101,Equidae,2016
BBJ01102,Equidae,2016
BBJ01106,Equidae,2016
BBJ01108,Equidae,2016
BBJ01111,Equidae,2016
BBJ01130,Equidae,2017
BBJ01137,Equidae,2017
BBJ01140,Equidae,2017
BBJ01141,Equidae,2017
BBJ01144,Equidae,2017
BBJ01145,Equidae,2017
BBJ01146,Equidae,2017
BBJ01148,Equidae,2017
BBJ01150,Equidae,2017
BBJ01153,Equidae,2017
BBJ01160,Equidae,2017
BBJ01162,Equidae,2017
BBJ01163,Equidae,2017
BBJ01164,Equidae,2017
BBJ01166,Equidae,2017
BBJ01170,Equidae,2017
BBJ01177,Equidae,2017
BBJ01182,Equidae,2017
BBJ01185,Equidae,2017
BBJ01186,Equidae,2017
BBJ01188,Equidae,2017
AWQ35852,Hominidae,2017-06
ANC85270,Hominidae,2013-01-26
ANC33817,Hominidae,2013
AIE39947,Bovidae,2013-02-05
AIE39957,Bovidae,2013-01-20
AIE39958,Bovidae,2013-02-22
AIE39959,Bovidae,2013-01-20
AHG06589,Suidae,2011
AFX73053,Hominidae,2009
ABV53334,Hominidae,1991-05
ABV55290,Hominidae,2001-10-15
UPV00665,Hominidae,2018
QNL34753,Hominidae,2018-02-26
BBL56340,Hominidae,2016
BBL56350,Hominidae,2014
BBL56354,Hominidae,2015
BBL56365,Hominidae,2015
BBL56372,Hominidae,2015
BBJ00933,Equidae,2013
BBJ00938,Equidae,2013
BBJ00942,Equidae,2013
BBJ00946,Equidae,2013
BBJ00965,Equidae,2013
BBJ00991,Equidae,2014
BBJ01007,Equidae,2014
BBJ01017,Equidae,2014
BBJ01034,Equidae,2014
BBJ01035,Equidae,2014
BBJ01038,Equidae,2014
BBJ01041,Equidae,2014
BBJ01049,Equidae,2015
BBJ01054,Equidae,2015
BBJ01055,Equidae,2015
BBJ01057,Equidae,2015
BBJ01058,Equidae,2015
BBJ01059,Equidae,2015
BBJ01060,Equidae,2015
BBJ01063,Equidae,2015
BBJ01067,Equidae,2015
BBJ01069,Equidae,2015
BBJ01083,Equidae,2016
BBJ01109,Equidae,2016
BBJ01125,Equidae,2017
BBJ01133,Equidae,2017
BBJ01138,Equidae,2017
BBJ01142,Equidae,2017
BBJ01152,Equidae,2017
BBJ01157,Equidae,2017
BBJ01161,Equidae,2017
BBJ01176,Equidae,2017
BBJ01190,Equidae,2017
QBH99196,Hominidae,2018-01
QAA78569,Bovidae,2017-07-30
AXN73051,Bovidae,2013-10-11
ASF57921,Hominidae,2011-03
AIE39951,Bovidae,2013-02-05
AHZ91332,Hominidae,2009-09-15
ACX45398,Hominidae,2006
ACM45468,Hominidae,2007-12
ACF33464,Suidae,2007
ABV53426,Hominidae,2003-11-12
WBR62911,Suidae,2014
WBR62912,Suidae,2014
WBR62913,Suidae,2015
WBR62914,Suidae,2015
UPV00672,Hominidae,2018
UPV00682,Hominidae,2018
QXY10034,Hominidae,2013-08-16
QXY10363,Hominidae,2014-06-17
QRL06737,Hominidae,2017-05-24
QRL06748,Hominidae,2017-12-16
QRL06781,Hominidae,2018-01-29
QOU12586,Hominidae,2018
BBL56376,Hominidae,2015
BBH51522,Hominidae,2008
BBJ00956,Equidae,2013
BBJ00978,Equidae,2013
BBJ01002,Equidae,2014
BBJ01043,Equidae,2015
BBJ01061,Equidae,2015
BBJ01167,Equidae,2017
QAA78564,Bovidae,2017-04-21
AUD10145,Hominidae,2012
AMR44104,Hominidae,2013
AMR44106,Hominidae,2013
BAS01279,Hominidae,2010-11
AGH13313,Suidae,2012
ACX45395,Hominidae,2006
ACX45396,Hominidae,2006
ACX45397,Hominidae,2006
ACX45399,Hominidae,2006
ACX50965,Hominidae,2005
UPV00668,Hominidae,2018
UPV00669,Hominidae,2018
UPV00680,Hominidae,2018
QRL06680,Hominidae,2016-03-15
QRL06728,Hominidae,2017-02-09
QRL06902,Hominidae,2018-04-24
QLJ94241,Bovidae,2016
QGV12479,Hominidae,2018-06-25
QGV12481,Hominidae,2018-08-09
BBL56331,Hominidae,2016
BBJ01068,Equidae,2015
QBH99195,Hominidae,2018-01
QBH99197,Hominidae,2018-01
QAR18088,Hominidae,2010
AXN72989,Bovidae,2007-10-05
AXN72990,Bovidae,2007-11-05
AUD10133,Hominidae,2013
AQQ12294,Suidae,2014-12
AOS87814,Suidae,2012-03-15
AMR44102,Hominidae,2012
ALJ93260,Hominidae,2012
AGH13311,Suidae,2012
AET86949,Suidae,2006
ACH91150,Equidae,2002
ABV53348,Hominidae,1997-03
ABV55277,Hominidae,1997-11
WCB27523,Hominidae,2012-07-04
UPV00681,Hominidae,2018
UPV00683,Hominidae,2018
UPV00687,Hominidae,2018
QXY09287,Hominidae,2012-07-18
QXY09695,Hominidae,2013-05-22
QXY09915,Hominidae,2013-06-25
QXY10209,Hominidae,2014-03-13
QRK14408,Hominidae,2015
QRK14409,Hominidae,2014
QRK14410,Hominidae,2015
QRK14411,Hominidae,2015
QRK14412,Hominidae,2013
QRK14413,Hominidae,2013
QRK14414,Hominidae,2013
QRK14415,Hominidae,2014
QRK14416,Hominidae,2014
QRK14417,Hominidae,2014
QRK14418,Hominidae,2014
QRK14419,Hominidae,2014
QRK14420,Hominidae,2013
QRK14421,Hominidae,2015
QRK14422,Hominidae,2014
QRK14423,Hominidae,2014
QRK14424,Hominidae,2014
QRK14425,Hominidae,2014
QRK14426,Hominidae,2014
QRK14427,Hominidae,2014
QRK14428,Hominidae,2014
QRK14429,Hominidae,2014
QRK14430,Hominidae,2014
QRK14431,Hominidae,2014
QRK14432,Hominidae,2014
QRK14433,Hominidae,2014
QRK14434,Hominidae,2014
QRK14435,Hominidae,2014
QRK14436,Hominidae,2014
QRK14437,Hominidae,2014
QRK14438,Hominidae,2016
QRK14439,Hominidae,2015
QRK14440,Hominidae,2015
QRK14441,Hominidae,2015
QRK14442,Hominidae,2015
QRK14443,Hominidae,2013
QRK14444,Hominidae,2013
QRK14445,Hominidae,2015
QRK14446,Hominidae,2015
QRK14447,Hominidae,2013
QRK14448,Hominidae,2015
QRK14449,Hominidae,2015
QRK14450,Hominidae,2015
QRK14451,Hominidae,2014
QRK14452,Hominidae,2015
QRK14453,Hominidae,2015
QRK14454,Hominidae,2013
QRK14455,Hominidae,2010
QRK14456,Hominidae,2010
QRK14457,Hominidae,2010
QRK14458,Hominidae,2013
QRK14459,Hominidae,2013
QRK14460,Hominidae,2012
QRK14461,Hominidae,2013
QRK14462,Hominidae,2015
QRK14463,Hominidae,2013
QRK14464,Hominidae,2015
QRK14465,Hominidae,2015
QRK14466,Hominidae,2013
QRK14467,Hominidae,2014
QRK14468,Hominidae,2015
QRK14469,Hominidae,2014
QRK14470,Hominidae,2015
QRK14471,Hominidae,2013
QRK14472,Hominidae,2011
QRK14473,Hominidae,2013
QRK14474,Hominidae,2015
QRK14475,Hominidae,2014
QRK14476,Hominidae,2014
QRK14477,Hominidae,2014
QRK14478,Hominidae,2014
QRK14479,Hominidae,2011
QRK14480,Hominidae,2015
QRK14481,Hominidae,2011
QRK14482,Hominidae,2015
QRK14483,Hominidae,2014
QRK14484,Hominidae,2014
QRK14485,Hominidae,2015
QRK14486,Hominidae,2015
QRK14487,Hominidae,2014
QRK14488,Hominidae,2014
QRK14489,Hominidae,2015
QRK14490,Hominidae,2014
QRK14491,Hominidae,2014
QRK14492,Hominidae,2014
QRL06674,Hominidae,2016-03-03
QRL06675,Hominidae,2016-03-15
QRL06678,Hominidae,2016-03-15
QRL06679,Hominidae,2016-03-15
QRL06698,Hominidae,2016-07-08
QRL06752,Hominidae,2017-12-21
QRL06812,Hominidae,2018-02-02
QNL34717,Hominidae,2018-02-06
QNL34754,Hominidae,2018-02-25
QNL34791,Hominidae,2018-04-20
QGV12480,Hominidae,2018-07-25
BBL56322,Hominidae,2015
BBL56323,Hominidae,2015
BBL56324,Hominidae,2015
BBL56367,Hominidae,2015
BBJ01196,Equidae,2018
QBH99199,Hominidae,2018-01
AVP71938,Hominidae,2015
ASF57914,Hominidae,2006-03
BAX35538,Hominidae,2007
BAX35560,Hominidae,2007
BAX35571,Hominidae,2008
BAX35582,Hominidae,2008
AMR44111,Hominidae,2013
ALU63959,Hominidae,2014
ALU63960,Hominidae,2014
ALU63961,Hominidae,2014
ALU63962,Hominidae,2014
ALU63963,Hominidae,2014
ALU63964,Hominidae,2014
ALU63965,Hominidae,2014
ALU63966,Hominidae,2014
ALU63967,Hominidae,2014
ALU63968,Hominidae,2014
ALU63969,Hominidae,2014
ALU63970,Hominidae,2014
ALU63971,Hominidae,2014
ALU63972,Hominidae,2014
ALU63973,Hominidae,2014
BAR91707,Hominidae,1990
AHH34764,Bovidae,2009-09
AGH13308,Suidae,2012
AGH13315,Suidae,2012
AGH13322,Suidae,2011
BAM66289,Equidae,2010
ADJ67680,Bovidae,2007-01
ABV53403,Hominidae,1993-01
ABV53404,Hominidae,1993-01
ABV53428,Hominidae,1997-05
ABV53429,Hominidae,1995-07
ABV53430,Hominidae,1995-01
ABV53431,Hominidae,1994-09
ABV53432,Hominidae,1995-06
ABV53436,Hominidae,1995-01
ABV53437,Hominidae,1991-05
ABV53438,Hominidae,1993-01
ABV55305,Hominidae,2001-12-15
XDI39101,Hominidae,2009
QLJ94223,Bovidae,2016
QGW49031,Hominidae,2018-07
QGW49032,Hominidae,2018-07
QGW49033,Hominidae,2018-07
QGW49034,Hominidae,2018-07
QGW49036,Hominidae,2018-07
QGW49037,Hominidae,2018-07
BBJ01095,Equidae,2016
BBJ01197,Equidae,2018
QBH99194,Hominidae,2018-01
QAA77602,Hominidae,2014
ANC33814,Hominidae,2013
AIF34682,Hominidae,2009-12-22
AFQ41912,Hominidae,2011
AFQ41913,Hominidae,2011
AFQ41914,Hominidae,2010
AFQ41915,Hominidae,2010
AFA43489,Hominidae,2010
AEM76799,Suidae,2007-06-20
ACX45393,Hominidae,2006
ACX45394,Hominidae,2006
ACO60066,Hominidae,2009-03-09
ABV53344,Hominidae,1998-12
ABV53385,Hominidae,1996-02
ABV53411,Hominidae,2002-01-12
ABV55280,Hominidae,1999-03
WXH00154,Hominidae,2018-06
WDA65675,Hominidae,2014
WBR62819,Suidae,2014
WBR62820,Suidae,2014
WBR62821,Suidae,2014
WBR62822,Suidae,2014
WBR62823,Suidae,2014
WBR62824,Suidae,2014
WBR62825,Suidae,2016
WBR62826,Suidae,2016
WBR62827,Suidae,2016
WBR62828,Suidae,2016
WBR62829,Suidae,2017
WBR62830,Suidae,2017
WBR62831,Suidae,2017
WBR62832,Suidae,2017
WBR62833,Suidae,2017
WBR62834,Suidae,2017
WBR62835,Suidae,2017
WBR62836,Suidae,2017
WBR62837,Suidae,2017
WBR62838,Suidae,2016
WBR62839,Suidae,2016
WBR62840,Suidae,2016
WBR62841,Suidae,2016
WBR62842,Suidae,2016
WBR62843,Suidae,2016
WBR62844,Suidae,2016
WBR62845,Suidae,2017
WBR62846,Suidae,2017
WBR62847,Suidae,2017
WBR62848,Suidae,2017
WBR62849,Suidae,2017
WBR62850,Suidae,2017
WBR62851,Suidae,2017
WBR62852,Suidae,2017
WBR62853,Suidae,2017
WBR62854,Suidae,2017
WBR62855,Suidae,2017
WBR62856,Suidae,2017
WBR62857,Suidae,2018
WBR62858,Suidae,2018
WBR62915,Suidae,2017
WBR62916,Suidae,2017
WBR62923,Suidae,2014
WBR62924,Suidae,2015
WBR62925,Suidae,2016
WBR62926,Suidae,2017
WBR62927,Suidae,2016
WBR62928,Suidae,2016
WBR62929,Suidae,2017
UPV00675,Hominidae,2018
UPV00677,Hominidae,2018
UPV00678,Hominidae,2018
QXY09226,Hominidae,2012-07-11
QRL06672,Hominidae,2016-03-03
QRL06673,Hominidae,2016-03-03
QRL06684,Hominidae,2016-03-15
QRL06750,Hominidae,2017-12-20
QNL34747,Hominidae,2018-02-26
QLJ94240,Bovidae,2016
QEO24751,Suidae,2014-02-10
BBL56294,Hominidae,2015
BBL56328,Hominidae,2016
BBL56336,Hominidae,2016
BBL56353,Hominidae,2015
BBL56364,Hominidae,2015
QBJ02325,Suidae,2017-04
AXN72996,Bovidae,2009-10-17
AXN73008,Bovidae,2013-12-17
AXN73015,Bovidae,2014-09-15
AWQ35851,Hominidae,2017-06
AMR44110,Hominidae,2013
ALJ93261,Hominidae,2012
ALJ93262,Hominidae,2012
ALJ93263,Hominidae,2012
ALJ93264,Hominidae,2012
ALJ93265,Hominidae,2012
ALJ93267,Hominidae,2012
ALJ93268,Hominidae,2012
ALJ93269,Hominidae,2012
ALJ93270,Hominidae,2012
BAT22770,Hominidae,2008
AIW80112,Hominidae,2012
AIF34680,Hominidae,2009-11-14
BAO57519,Hominidae,2013-06-06
AGE09864,Hominidae,2011-10
AGH13307,Suidae,2012
AGH13317,Suidae,2011
BAM66288,Equidae,2010
AFH08705,Hominidae,2004
AEM76798,Suidae,2007-05-18
ACZ59918,Suidae,2006
ACH91151,Equidae,2001
ABV53347,Hominidae,1997-03
ABV53386,Hominidae,1993-02
ABV53388,Hominidae,1993-01
UPV00643,Hominidae,2018
UPV00671,Hominidae,2018
QXY08829,Hominidae,2012-01-04
QXY09640,Hominidae,2013-05-04
QXY09673,Hominidae,2013-05-20
QXY09761,Hominidae,2013-06-04
QXY09783,Hominidae,2013-06-04
QXY09926,Hominidae,2013-06-26
QXY09947,Hominidae,2013-07-02
QXY10077,Hominidae,2013-09-16
QXY10088,Hominidae,2013-09-17
QXY10198,Hominidae,2014-02-22
QXY10253,Hominidae,2014-04-08
QXY12229,Hominidae,2013-07-12
QRL06754,Hominidae,2017-12-25
QRL06791,Hominidae,2018-01-29
QLJ94219,Bovidae,2016
QLJ94221,Bovidae,2016
BBM12500,Hominidae,2017
QHW04019,Suidae,2016
QEO24766,Suidae,2014-02-10
BBL56330,Hominidae,2016
BBL56349,Hominidae,2016
BBL56359,Hominidae,2015
BBL56375,Hominidae,2015
QBH99193,Hominidae,2018-01
QAA78566,Bovidae,2017-05-02
AXN72986,Bovidae,2007-08-28
AXN72991,Bovidae,2008-09-02
AXN72995,Bovidae,2009-10-01
AXN72998,Bovidae,2009-10-22
AXN73041,Bovidae,2011-10-04
AOE43660,Suidae,2012-04-26
AOS87813,Suidae,2012-03-15
ANC33810,Hominidae,2013
AMR44107,Hominidae,2013
AJC01327,Suidae,2013
AJG06117,Hominidae,2006
AJC00677,Hominidae,2011
AIF34652,Hominidae,2007-06-07
AHH02600,Bovidae,2011-09-12
AHL67497,Suidae,2011-11-30
AGC79572,Bovidae,2009-09-02
AGC79574,Bovidae,2009-09-02
AGC79575,Bovidae,2009-09-08
AGC79576,Bovidae,2007-06-28
AGC79577,Bovidae,2009-09-24
AGC79580,Bovidae,2009-09-24
AGC79582,Bovidae,2009-09-24
AGH13312,Suidae,2012
AER68037,Hominidae,2007-03-13
AEM76796,Suidae,2007-05-18
AEM76797,Suidae,2007-05-18
ADD79965,Hominidae,2007-07
WKR37783,Hominidae,2018-01-02
URW63876,Suidae,2018
QXY10231,Hominidae,2014-03-20
QRL06670,Hominidae,2016-03-03
QRL06681,Hominidae,2016-03-15
QRL06692,Hominidae,2016-04-20
QRL06693,Hominidae,2016-04-20
QRL06827,Hominidae,2018-02-07
QRL06829,Hominidae,2018-02-07
QRL06904,Hominidae,2018-05-04
QRL06922,Hominidae,2018-09-28
QNL34688,Hominidae,2018-01-25
QLJ94218,Bovidae,2016
QGX01811,Suidae,2014-04
QGX01812,Suidae,2014-04
BBL56334,Hominidae,2016
BBH51517,Hominidae,2007
QAA78565,Bovidae,2017-04-25
AXN72987,Bovidae,2007-08-28
AXN72988,Bovidae,2007-10-01
AXN72992,Bovidae,2008-09-22
AXN72993,Bovidae,2009-08-11
AYC11989,Hominidae,2016
AUT30247,Hominidae,2010
AUD10147,Hominidae,2013
AQQ12297,Suidae,2014-04
ANC33811,Hominidae,2013
ANC33815,Hominidae,2013
ANC33819,Hominidae,2013
ANC33821,Hominidae,2013
ALR87138,Suidae,2014
ALR95951,Hominidae,2008-05
ALR95952,Hominidae,2008-07
