Accession,Host,Collection_Date
AXF42984,Bovidae,2006
AXF42985,Bovidae,2006
AIV42950,Hominidae,1998-01-13
AIV42961,Hominidae,1998-07-07
AIV42983,Hominidae,2009-08-19
AIL83413,Hominidae,2012
AGY80257,Hominidae,2006-04-14
AFF18924,Hominidae,2010-09-02
AYA44331,Hominidae,2013-11-11
AKD32479,Hominidae,2009
AKD32480,Hominidae,2008
AIY56476,Suidae,2012
BAP34098,Hominidae,2012-05
ADC53102,Bovidae,2001-11
ADC53103,Bovidae,2004-12
ADC53104,Bovidae,2005-02
WCB27521,Hominidae,2012-07-04
QXY08827,Hominidae,2012-01-04
QXY08952,Hominidae,2012-03-03
QXY09181,Hominidae,2012-06-27
QXY09583,Hominidae,2013-01-15
QXY12161,Hominidae,2012-01-07
BCD71208,Hominidae,2016-02
AIW53353,Phasianidae,2013-06
BAP34048,Hominidae,2012-05
AHF49476,Hominidae,2005
WFQ89634,Hominidae,2018
UIC71995,Suidae,2017-04
QXY09017,Hominidae,2012-04-13
QXY09945,Hominidae,2013-07-02
QXY10361,Hominidae,2014-06-17
QOY44546,Hominidae,2015-01-25
QOY44547,Hominidae,2015-02-21
QOY44548,Hominidae,2015-02-25
BBB17034,Hominidae,2013-05
BAT70466,Hominidae,2013-01-24
BAT70467,Hominidae,2013-02-12
AHZ91651,Hominidae,2005-09-26
AHF49473,Hominidae,2002
AHF49478,Hominidae,1991
ACJ65717,Hominidae,2006-01
WDV18538,Hominidae,2018
BCK33980,Hominidae,2016
BBJ70176,Hominidae,2018
BBB16998,Hominidae,2013-03
AXF42961,Suidae,2006
AXF42962,Suidae,2006
AXF42963,Suidae,2006
AXF42964,Suidae,2006
AXF42965,Suidae,2006
ALJ82983,Hominidae,2007
AHF49474,Hominidae,2002
AGK89869,Bovidae,2007
ACJ65718,Hominidae,2006-04
BFM37992,Hominidae,1982-03
BAP76317,Hominidae,1989
BAP76318,Hominidae,1988
QDI78744,Hominidae,2012-03-13
AWI73637,Hominidae,2016-10
AKD32427,Hominidae,2008
AKD32428,Hominidae,2008
AKD32478,Hominidae,2009
AKD32484,Hominidae,2008
AKD32502,Hominidae,2008
AKD32504,Hominidae,2008
AKD32525,Hominidae,2008
BAT22771,Hominidae,2008
AIL83427,Hominidae,2012
AFF18464,Hominidae,2008
UUA80912,Hominidae,2016
UUA80932,Hominidae,2016
UUA80933,Hominidae,2016
QXY10273,Hominidae,2014-04-16
BCK33970,Hominidae,2016
BCK33981,Hominidae,2016
BBI30095,Equidae,2016
BBI30106,Equidae,2018
BBI30117,Equidae,2015
BBI30128,Equidae,2018
BBI98058,Equidae,2016
BBI98069,Equidae,2016
BBI98080,Equidae,2017
BBI98091,Equidae,2018
BBI98102,Equidae,2012
BBI98113,Equidae,2013
BBI98124,Equidae,2014
BBI98135,Equidae,2016
BBI98146,Equidae,2012
BBI98157,Equidae,2013
BBI98168,Equidae,2016
BBI98179,Equidae,2017
BBI98190,Equidae,2018
ALJ82974,Hominidae,2002
ALJ82985,Hominidae,2007
AKD32471,Hominidae,2009
AKD32507,Hominidae,2008
AKD32518,Hominidae,2008
AJM71338,Hominidae,2009
AHF49471,Hominidae,2000
AFF18465,Hominidae,2008
BFM51742,Suidae,2018-01-07
UQJ69451,Hominidae,2016
BCD71850,Hominidae,2017-05
QDI78463,Hominidae,2013-02-15
QDI78475,Hominidae,2013-10-10
BAX35878,Hominidae,2014-06-10
BAX36159,Hominidae,2014-05-01
AKD32416,Hominidae,2008
AHF49472,Hominidae,2004
AHF49475,Hominidae,1994
AHF49477,Hominidae,2004
AGF86309,Hominidae,2009
AFU50370,Hominidae,2006-11
AFF18466,Hominidae,2009
BFM37996,Hominidae,1987-02
BFM37998,Hominidae,1987-03
QXY09487,Hominidae,2012-08-09
BCD71263,Hominidae,2016-03
BCK34009,Hominidae,2016
BBB16975,Hominidae,2013-02
AGF86000,Hominidae,2004-01
XDL44778,Hominidae,2017
WDV18540,Hominidae,2018
QXY08879,Hominidae,2012-02-10
QXY09405,Hominidae,2012-08-02
QXY10339,Hominidae,2014-06-15
BCD71641,Hominidae,2017-04
BCK33963,Hominidae,2016
QOY44549,Hominidae,2015-04-03
QOY44550,Hominidae,2016-06-22
QOY44551,Hominidae,2016-09-28
BBG56975,Hominidae,2017-04
BAX35638,Hominidae,2014-04-08
BAX35649,Hominidae,2014-04-24
BAX35660,Hominidae,2014-05-27
BAX35671,Hominidae,2014-05-08
BAX35693,Hominidae,2014-05-16
BAX35748,Hominidae,2014-05-20
BAX35801,Hominidae,2014-04-22
BAX35802,Hominidae,2014-04-23
BAX35803,Hominidae,2014-04-23
BAX35804,Hominidae,2014-04-23
BAX35805,Hominidae,2014-04-27
BAX35806,Hominidae,2014-04-25
BAX35808,Hominidae,2014-04-27
BAX35809,Hominidae,2014-04-28
BAX35811,Hominidae,2014-04-28
BAX35812,Hominidae,2014-04-08
BAX35813,Hominidae,2014-05-16
BAX35814,Hominidae,2014-04-15
BAX35815,Hominidae,2014-04-17
BAX35816,Hominidae,2014-03-27
BAX35817,Hominidae,2014-04-17
BAX35818,Hominidae,2014-04-19
BAX35820,Hominidae,2014-04-24
BAX35821,Hominidae,2014-04-24
BAX35822,Hominidae,2014-04-25
BAX35823,Hominidae,2014-04-26
BAX35824,Hominidae,2014-03-28
BAX35825,Hominidae,2014-04-28
BAX35826,Hominidae,2014-04-28
BAX35827,Hominidae,2014-04-24
BAX35828,Hominidae,2014-04-28
BAX35829,Hominidae,2014-05-15
BAX35830,Hominidae,2014-05-16
BAX35832,Hominidae,2014-05-16
BAX35833,Hominidae,2014-05-16
BAX35834,Hominidae,2014-04-03
BAX36301,Hominidae,2014-04-29
BAX36345,Hominidae,2014-05-14
ALJ82982,Hominidae,2007
BAQ19302,Hominidae,2013-02-07
BAP34065,Hominidae,2012-04
BAP34125,Hominidae,2012-05
AGF85964,Hominidae,2004-01
AGF86022,Hominidae,2003-12
AGF86078,Hominidae,2004-06
AGF86090,Hominidae,2004-06
WRW12553,Suidae,2018-03
WCB27499,Hominidae,2012-06-13
WCB27510,Hominidae,2012-06-27
QLI46606,Hominidae,2015
QXY08794,Hominidae,2010-07-28
QXY08846,Hominidae,2012-01-08
QXY08857,Hominidae,2012-01-16
QXY08868,Hominidae,2012-01-16
QXY08973,Hominidae,2012-03-05
QXY09006,Hominidae,2012-03-29
QXY09088,Hominidae,2012-05-15
QXY09099,Hominidae,2012-06-03
QXY09152,Hominidae,2012-06-18
QXY09163,Hominidae,2012-06-19
QXY09202,Hominidae,2012-06-27
QXY09235,Hominidae,2012-07-11
QXY09296,Hominidae,2012-07-19
QXY09351,Hominidae,2012-07-21
QXY09362,Hominidae,2012-07-24
QXY09373,Hominidae,2012-07-24
QXY09454,Hominidae,2012-08-08
QXY09476,Hominidae,2012-08-09
QXY09498,Hominidae,2012-08-10
QXY09529,Hominidae,2012-08-22
QXY09561,Hominidae,2012-09-18
QXY09605,Hominidae,2013-04-13
QXY09693,Hominidae,2013-05-22
QXY09737,Hominidae,2013-05-30
QXY09814,Hominidae,2013-06-08
QXY09825,Hominidae,2013-06-08
QXY09869,Hominidae,2013-06-18
QXY09902,Hominidae,2013-06-21
QXY09924,Hominidae,2013-06-26
QXY09999,Hominidae,2013-07-27
QXY10097,Hominidae,2013-09-18
QXY10108,Hominidae,2013-09-17
QXY10141,Hominidae,2013-09-28
QXY10152,Hominidae,2013-10-19
QXY10207,Hominidae,2014-03-13
QXY10240,Hominidae,2014-04-03
QXY10295,Hominidae,2014-04-23
QXY10306,Hominidae,2014-05-07
QXY10328,Hominidae,2014-06-15
QXY10394,Hominidae,2014-06-24
QXY12348,Hominidae,2012-01-02
QXY12380,Hominidae,2012-09-21
QXY12391,Hominidae,2012-06-05
QXY12402,Hominidae,2012-03-25
QXY12432,Hominidae,2012-02-17
BCK33956,Hominidae,2016
QGX01907,Suidae,2015-04
QGX01908,Suidae,2015-06
BBJ70167,Hominidae,2018
BBJ70171,Hominidae,2018
QDI78677,Hominidae,2012-12-10
QDI78862,Hominidae,2012-02-03
AYE56545,Hominidae,2012
AST12128,Hominidae,2013-04-25
AQQ12288,Suidae,2015-04
AQQ12327,Hominidae,2007-12
AKD32417,Hominidae,2008
AKD32419,Hominidae,2008
AKD32421,Hominidae,2008
AKD32423,Hominidae,2008
AKD32426,Hominidae,2008
AKD32429,Hominidae,2008
AKD32430,Hominidae,2008
AKD32437,Hominidae,2008
AKD32438,Hominidae,2008
AKD32439,Hominidae,2008
AKD32452,Hominidae,2007
AKD32465,Hominidae,2008
AKD32475,Hominidae,2008
AKD32481,Hominidae,2009
AKD32482,Hominidae,2009
AKD32485,Hominidae,2008
AKD32487,Hominidae,2008
AKD32489,Hominidae,2008
AKD32493,Hominidae,2008
AKD32501,Hominidae,2008
AKD32503,Hominidae,2008
AKD32506,Hominidae,2008
AKD32510,Hominidae,2008
AKD32524,Hominidae,2008
AKD32528,Hominidae,2008
AIU97781,Hominidae,2011
AIU97782,Hominidae,2011
AIL83392,Hominidae,2012
AIL83400,Hominidae,2012
AIL83404,Hominidae,2012
AIL83426,Hominidae,2012
AIL83428,Hominidae,2012
AIL83461,Hominidae,2012
AHZ91107,Hominidae,2004-05-31
AHZ91688,Hominidae,2005
QXY09660,Hominidae,2013-05-15
QXY09913,Hominidae,2013-06-25
QXY10042,Hominidae,2013-08-30
QXY10185,Hominidae,2014-02-21
BCK33952,Hominidae,2016
QIN53329,Phasianidae,2002
QDI78524,Hominidae,2013-02-28
QDI78641,Hominidae,2011-08-26
QDI78852,Hominidae,2011-09-16
QDI78894,Hominidae,2011-09-16
QDI78940,Hominidae,2011-01-20
AYE56581,Hominidae,2012
AST12057,Hominidae,2013-04-07
AIL83385,Hominidae,2012
AIL83446,Hominidae,2012
AIL83460,Hominidae,2012
AGC30614,Hominidae,2010-07-08
BAJ14097,Suidae,2009-06
XDL44773,Hominidae,2016
XDL44802,Hominidae,2017
XDL44810,Hominidae,2017
XDI09045,Hominidae,2015
BFM37990,Hominidae,1981-02
BFM37991,Hominidae,1981-02
BFM37993,Hominidae,1982-03
BFM37994,Hominidae,1984-04
BFM37995,Hominidae,1984-04
BFM37997,Hominidae,1987-02
BFM37999,Hominidae,1989-03
BFM38000,Hominidae,1989-03
BFM38001,Hominidae,1989-03
WRW12547,Suidae,2017-02
WRW12548,Suidae,2017-02
WRW12554,Suidae,2018-03
WRW12556,Suidae,2018-04
WRW12560,Suidae,2018-05
WRW12563,Suidae,2017-11
WRW12567,Suidae,2018-06
UZH98838,Hominidae,2015-04-09
UUA80934,Hominidae,2016
URW63827,Suidae,2018
QXY09285,Hominidae,2012-07-18
QXY09977,Hominidae,2013-07-19
BCD71318,Hominidae,2016-03
BCD71329,Hominidae,2016
BCD71373,Hominidae,2016-04
BCD71685,Hominidae,2017-05
BCD71707,Hominidae,2017-04
BCD71784,Hominidae,2017-04
BCD71861,Hominidae,2017-04
BCD71872,Hominidae,2017-04
BCD71903,Hominidae,2016-03
BCD71904,Hominidae,2016-03
BCD71905,Hominidae,2016-03
BCD71906,Hominidae,2016-03
BCD71907,Hominidae,2016-03
BCD71908,Hominidae,2016-03
BCD71909,Hominidae,2016-03
BCD71910,Hominidae,2016-03
BCD71911,Hominidae,2016-03
BCD71912,Hominidae,2016-03
BCD71913,Hominidae,2016-04
BCD71914,Hominidae,2016-04
BCD71915,Hominidae,2016-04
BCD71916,Hominidae,2016-04
BCD71917,Hominidae,2016-04
BCD71918,Hominidae,2016-05
BCD71919,Hominidae,2016-05
BCD71920,Hominidae,2016-05
BCD71921,Hominidae,2016-05
BCD71922,Hominidae,2016-05
BCD71923,Hominidae,2016-05
BCD71951,Hominidae,2017-04
BCD71952,Hominidae,2017-04
BCD71953,Hominidae,2017-04
BCD71954,Hominidae,2017-04
BCD71955,Hominidae,2017-04
BCD71956,Hominidae,2017-04
BCD71964,Hominidae,2016-05
BCK33957,Hominidae,2016
BCK33958,Hominidae,2016
BCK33969,Hominidae,2016
BCK33973,Hominidae,2016
BBM12480,Hominidae,2017
QIN53362,Phasianidae,2006
BBJ70151,Hominidae,2017
QDI78493,Hominidae,2012-07-05
QDI78545,Hominidae,2011-12-05
QDI78557,Hominidae,2012-12-19
QDI78579,Hominidae,2012-06-27
QDI78714,Hominidae,2012-06-15
QDI78773,Hominidae,2011-09-16
QDI78785,Hominidae,2010-08-27
QDI78797,Hominidae,2013-02-12
QDI78809,Hominidae,2010-08-24
QDI78821,Hominidae,2012-09-17
QDI78873,Hominidae,2012-06-22
AWI73648,Hominidae,2013-10
BBB46070,Hominidae,2014
AST12045,Hominidae,2013-05-15
AST12069,Hominidae,2013-05-16
ASM56587,Hominidae,2013-08-29
BAX35594,Hominidae,2014-03-14
BAX35737,Hominidae,2014-05-11
BAX35944,Hominidae,2014-05-30
BAX36008,Hominidae,2014-06-12
BAX36290,Hominidae,2014-05-10
AOI27806,Hominidae,1974
AOI27817,Hominidae,1974
AOI27828,Hominidae,1988
AOI27839,Hominidae,1988
AOI27850,Hominidae,1989
AOI27861,Hominidae,1989
AOI27872,Hominidae,1991
AOI27883,Hominidae,1991
AOI27894,Hominidae,1991
AOI27916,Hominidae,1991
AOI27949,Hominidae,1989
AOI27971,Hominidae,1989
AOI28004,Hominidae,1988
AOI28026,Hominidae,1988
AOI28081,Hominidae,1974
ANJ45266,Hominidae,2014
BAT46747,Hominidae,2007
BAT46758,Hominidae,2008
BAT46769,Hominidae,2007
BAT46780,Hominidae,2008
AKD32447,Hominidae,2009
BAS67007,Phasianidae,1979
AKA40226,Hominidae,2011
AKA40570,Bovidae,2009-09-21
AKA40606,Bovidae,2009-09-21
AJD79810,Hominidae,1997-04-10
AJD79821,Hominidae,1997-04-22
AJD79832,Hominidae,1997-07-14
AJD79843,Hominidae,1997-07-14
AJD79854,Hominidae,1997-07-14
AJD79865,Hominidae,1998-07-21
AJD79876,Hominidae,1998-09-08
AJD79888,Hominidae,1999-01-06
AJC00614,Hominidae,2010
AIL83396,Hominidae,2012
BAP34043,Hominidae,2012-04
BAP34044,Hominidae,2012-04
BAP34045,Hominidae,2012-04
BAP34046,Hominidae,2012-04
BAP34047,Hominidae,2012-04
BAP34049,Hominidae,2012-05
BAP34050,Hominidae,2012-05
BAP34051,Hominidae,2012-05
BAP34052,Hominidae,2012-05
BAP34053,Hominidae,2012-05
BAP34054,Hominidae,2012-05
BAP34055,Hominidae,2012-05
BAP34056,Hominidae,2012-05
BAP34057,Hominidae,2012-04
BAP34058,Hominidae,2012-04
BAP34059,Hominidae,2012-04
BAP34060,Hominidae,2012-04
BAP34061,Hominidae,2012-04
BAP34062,Hominidae,2012-04
BAP34063,Hominidae,2012-04
BAP34064,Hominidae,2012-04
BAP34066,Hominidae,2012-04
BAP34067,Hominidae,2012-04
BAP34068,Hominidae,2012-04
BAP34069,Hominidae,2012-04
BAP34070,Hominidae,2012-04
BAP34071,Hominidae,2012-04
BAP34072,Hominidae,2012-04
BAP34073,Hominidae,2012-04
BAP34074,Hominidae,2012-04
BAP34075,Hominidae,2012-04
BAP34076,Hominidae,2012-04
BAP34077,Hominidae,2012-04
BAP34078,Hominidae,2012-04
BAP34079,Hominidae,2012-04
BAP34080,Hominidae,2012-04
BAP34081,Hominidae,2012-04
BAP34082,Hominidae,2012-04
BAP34083,Hominidae,2012-04
BAP34084,Hominidae,2012-04
BAP34085,Hominidae,2012-04
BAP34086,Hominidae,2012-04
BAP34087,Hominidae,2012-04
BAP34088,Hominidae,2012-05
BAP34089,Hominidae,2012-05
BAP34090,Hominidae,2012-05
BAP34091,Hominidae,2012-05
BAP34092,Hominidae,2012-05
BAP34093,Hominidae,2012-05
BAP34094,Hominidae,2012-05
BAP34095,Hominidae,2012-05
BAP34096,Hominidae,2012-05
BAP34097,Hominidae,2012-05
BAP34099,Hominidae,2012-06
BAP34100,Hominidae,2012-06
BAP34101,Hominidae,2012-06
BAP34102,Hominidae,2012-06
BAP34103,Hominidae,2012-06
BAP34104,Hominidae,2012-06
BAP34105,Hominidae,2012-06
BAP34106,Hominidae,2012-07
BAP34107,Hominidae,2012-07
BAP34108,Hominidae,2012-03
BAP34109,Hominidae,2012-04
BAP34110,Hominidae,2012-04
BAP34111,Hominidae,2012-04
BAP34112,Hominidae,2012-04
BAP34113,Hominidae,2012-04
BAP34114,Hominidae,2012-04
BAP34115,Hominidae,2012-04
BAP34116,Hominidae,2012-04
BAP34117,Hominidae,2012-04
BAP34118,Hominidae,2012-04
BAP34119,Hominidae,2012-04
BAP34120,Hominidae,2012-05
BAP34121,Hominidae,2012-05
BAP34122,Hominidae,2012-05
BAP34123,Hominidae,2012-05
BAP34124,Hominidae,2012-05
BAP34126,Hominidae,2012-05
BAP34127,Hominidae,2012-05
BAP34128,Hominidae,2012-05
BAP34129,Hominidae,2012-05
BAP34130,Hominidae,2012-05
BAP34131,Hominidae,2012-05
BAP34132,Hominidae,2012-05
BAP34133,Hominidae,2012-05
BAP34134,Hominidae,2012-05
BAP34135,Hominidae,2012-05
BAP34136,Hominidae,2012-05
BAP34137,Hominidae,2012-05
BAP34138,Hominidae,2012-05
BAP34139,Hominidae,2012-05
BAP34140,Hominidae,2012-06
BAP34141,Hominidae,2012-06
BAP34142,Hominidae,2012-06
BAP34143,Hominidae,2012-06
BAP34144,Hominidae,2012-06
BAP34145,Hominidae,2012-06
BAP34146,Hominidae,2012-06
BAP34147,Hominidae,2012-06
